Online_Grocery_Site,Product_Catagory,Product_Name,Weight,Unit,DayOfDeal,Original_Price,Discounted_Price,Discount %
jiomart.com,Buy Snacks and Namkeen,Lay's India's Magic Masala Potato Chips,90.0,gm,Thursday,50.0,33.0,34
jiomart.com,Buy Snacks and Namkeen,Bingo Original Style Chilli Sprinkled Potato Chips,90.0,gm,Thursday,50.0,33.0,34
jiomart.com,Buy Snacks and Namkeen,Taali Cheese & Herbs Protein Puffs,60.0,gm,Thursday,59.0,39.0,33
jiomart.com,Buy Snacks and Namkeen,Taali Smoky Barbeque Protien Puffs,60.0,gm,Thursday,59.0,39.0,33
jiomart.com,Buy Snacks and Namkeen,Taali Masala Mania Protein Puffs,60.0,gm,Thursday,59.0,39.0,33
jiomart.com,Buy Snacks and Namkeen,Taali Sriracha Spice Roasted Makhana,60.0,gm,Thursday,120.0,80.0,33
jiomart.com,Buy Chocolates and Can,Cadbury Dairy Milk Fruit & Nut Chocolate,36.0,gm,Thursday,45.0,40.0,11
jiomart.com,Buy Chocolates and Can,Cadbury Dairy Milk Roast Almond Chocolate,36.0,gm,Thursday,45.0,40.0,11
jiomart.com,Buy Chocolates and Can,Kit Kat Dessert Delight Truffle Chocolate,50.0,gm,Thursday,65.0,44.0,32
jiomart.com,Buy Chocolates and Can,Cadbury Dairy Milk Silk Bubbly Chocolate,120.0,gm,Thursday,185.0,108.0,41
jiomart.com,Buy Chocolates and Can,Cadbury Dairy Milk Chocolate,24.0,gm,Thursday,20.0,18.0,10
jiomart.com,Buy Chocolates and Can,Kit Kat Dessert Delight Choco Pudding Chocolate,50.0,gm,Thursday,65.0,44.0,32
jiomart.com,Buy Chocolates and Can,Cadbury Dairy Milk Family Pack Chocolate,130.0,gm,Thursday,130.0,109.0,16
jiomart.com,Buy Healthy Breakfast ,Kellogg's Fruit & Nut Muesli,750.0,gm,Thursday,490.0,326.0,33
jiomart.com,Buy Healthy Breakfast ,Kellogg's Oats,900.0,gm,Thursday,185.0,124.0,32
jiomart.com,Buy Healthy Breakfast ,Saffola Classic Instant Masala Oats,38.0,gm,Thursday,17.0,15.0,11
jiomart.com,Buy Healthy Breakfast ,Saffola Classic Masala Oats,500.0,gm,Thursday,228.0,183.0,19
jiomart.com,Buy Healthy Breakfast ,Saffola Veggie Twist Instant Masala Oats,38.0,gm,Thursday,17.0,15.0,11
jiomart.com,Buy Healthy Breakfast ,Bagrry's Original & Healthier Cornflakes Plus,800.0,gm,Thursday,399.0,199.0,50
jiomart.com,Buy Ready To Cook Food,Lijjat Udad Papad,200.0,gm,Thursday,77.0,69.0,10
jiomart.com,Buy Ready To Cook Food,MTR 3 Minute Breakfast Poha Mix,60.0,gm,Thursday,27.0,18.0,33
jiomart.com,Buy Ready To Cook Food,Knorr Classic Thick Tomato Soup,53.0,gm,Thursday,60.0,45.0,25
jiomart.com,Buy Ready To Cook Food,Knorr Classic Hot & Sour Vegetable Soup,41.0,gm,Thursday,60.0,45.0,25
jiomart.com,Buy Ready To Cook Food,Lijjat Punjabi Masala Special Papad,200.0,gm,Thursday,89.0,80.0,10
jiomart.com,Buy Ready To Cook Food,Ram Bandhu Udad Papad,200.0,gm,Thursday,90.0,45.0,50
jiomart.com,"Buy Whole Wheat Toast,",Britannia Toastea Premium Bake Rusk,182.0,gm,Thursday,30.0,29.0,3
jiomart.com,"Buy Whole Wheat Toast,",Parle Elaichi Rusk,400.0,gm,Thursday,75.0,49.0,34
jiomart.com,"Buy Whole Wheat Toast,",Britannia Toastea Premium Bake Rusk,400.0,gm,Thursday,75.0,57.0,24
jiomart.com,Order Fresh Breads and,Muffets And Tuffets White Bread,400.0,gm,Thursday,56.0,28.0,50
jiomart.com,Order Fresh Breads and,Muffets & Tuffets Multigrain Bread,400.0,gm,Thursday,70.0,35.0,50
jiomart.com,Order Fresh Breads and,Muffets & Tuffets Brown Bread,400.0,gm,Thursday,60.0,30.0,50
jiomart.com,Order Fresh Breads and,Muffets & Tuffets Whole Wheat Bread,400.0,gm,Thursday,60.0,30.0,50
jiomart.com,Order Fresh Breads and,Britannia 100% Whole Wheat Bread,450.0,gm,Thursday,50.0,45.0,10
jiomart.com,Order Fresh Breads and,"Schar Pan Rustico Gluten Free Bread (Brown Bread),",250.0,gm,Thursday,545.0,518.0,4
jiomart.com,Order Fresh Breads and,"Schar Pan Blanco Gluten Free Bread (White Bread),",250.0,gm,Thursday,545.0,518.0,4
jiomart.com,Buy Chai Online | Best,Tata Agni Tea,250.0,gm,Thursday,50.0,44.0,12
jiomart.com,Buy Chai Online | Best,Brooke Bond Taj Mahal Tea,500.0,gm,Thursday,450.0,364.0,19
jiomart.com,Buy Chai Online | Best,Tata Gold Leaf Tea,500.0,gm,Thursday,300.0,235.0,21
jiomart.com,Coffee Online - Buy In,Nescafe Classic Instant Coffee,90.0,gm,Thursday,350.0,287.0,18
jiomart.com,Coffee Online - Buy In,Nescafe Classic Instant Coffee,45.0,gm,Thursday,170.0,141.0,17
jiomart.com,Coffee Online - Buy In,BRU Instant Coffee,100.0,gm,Thursday,300.0,260.0,13
jiomart.com,Coffee Online - Buy In,Nescafe Classic Instant Coffee,45.0,gm,Thursday,180.0,167.0,7
jiomart.com,Coffee Online - Buy In,Nescafe Sunrise Instant Coffee Powder,50.0,gm,Thursday,115.0,105.0,8
jiomart.com,Coffee Online - Buy In,Nescafe Classic Instant Coffee,24.0,gm,Thursday,82.0,76.0,7
jiomart.com,Coffee Online - Buy In,BRU Green Label Filter Coffee Powder,500.0,gm,Thursday,280.0,226.0,19
jiomart.com,Buy Health Drinks and ,Horlicks Classic Malt,750.0,gm,Thursday,449.0,329.0,26
jiomart.com,Buy Health Drinks and ,Bournvita,750.0,gm,Thursday,370.0,262.0,29
jiomart.com,Buy Health Drinks and ,Dabur Chyawanprash 3x Immunity With Awaleha,950.0,gm,Thursday,395.0,335.0,15
jiomart.com,Buy Health Drinks and ,Horlicks Chocolate Delight,750.0,gm,Thursday,375.0,255.0,32
jiomart.com,Buy Health Drinks and ,Bournvita,75.0,gm,Thursday,30.0,27.0,10
jiomart.com,Buy Health Drinks and ,Amul Pro Whey Protein Drink,500.0,gm,Thursday,180.0,140.0,22
jiomart.com,Buy Health Drinks and ,Bournvita,500.0,gm,Thursday,233.0,173.0,25
jiomart.com,Buy Health Drinks and ,Dabur Chyawanprash Awaleha,250.0,gm,Thursday,116.0,96.0,17
jiomart.com,Buy Health Drinks and ,Women's Horlicks Plus Caramel Drink Mix,400.0,gm,Thursday,355.0,295.0,16
jiomart.com,Buy Health Drinks and ,Zandu Sona Chandi Chyawanplus,900.0,gm,Thursday,385.0,260.0,32
jiomart.com,Best Skin Care Product,Pond's Bright Beauty Spot-less Glow Face Wash,200.0,gm,Thursday,430.0,215.0,50
jiomart.com,Best Skin Care Product,Glow & Lovely Advanced Multi Vitamin Cream,110.0,gm,Thursday,270.0,210.0,22
jiomart.com,Buy Oral Care Products,Colgate Strong Teeth Strong you & Calcium Boost Toothpaste Saver Pack,500.0,gm,Thursday,294.0,214.0,27
jiomart.com,Buy Oral Care Products,Colgate Swarna Vedshakti Toothpaste,300.0,gm,Thursday,220.0,121.0,45
jiomart.com,Buy Bath and Hand Wash,Lifebuoy Total 10 Germ Protection Soap,40.0,gm,Thursday,10.0,9.0,10
jiomart.com,Buy Flour Online - Att,Suji / Rawa,500.0,gm,Thursday,53.0,25.0,52
jiomart.com,Buy Flour Online - Att,Besan,500.0,gm,Thursday,95.0,45.0,52
jiomart.com,Buy Dals and Pulses On,Good Life Raw Peanuts,500.0,gm,Thursday,120.0,101.0,15
jiomart.com,Buy Dals and Pulses On,Good Life Kabuli Chana,500.0,gm,Thursday,134.0,111.0,17
jiomart.com,Buy Dals and Pulses On,Good Life Moong Dal,500.0,gm,Thursday,96.0,73.0,23
jiomart.com,Buy Dals and Pulses On,Good Life Chana Dal,500.0,gm,Thursday,70.0,52.0,25
jiomart.com,Buy Dals and Pulses On,Good Life Whole Moong,500.0,gm,Thursday,95.0,72.0,24
jiomart.com,Buy Dals and Pulses On,Tata Sampann Unpolished Toor / Arhar Dal,500.0,gm,Thursday,143.0,132.0,7
jiomart.com,Buy Dals and Pulses On,Tata Sampann Unpolished Moong Dal,500.0,gm,Thursday,105.0,97.0,7
jiomart.com,Buy Dals and Pulses On,Good Life Masoor Dal,500.0,gm,Thursday,69.0,57.0,17
jiomart.com,Buy Rice and Rice Prod,Tata Sampann White Poha,500.0,gm,Thursday,53.0,35.0,33
jiomart.com,"Buy Salt, Sugar and Ja",Parth Jaggery,950.0,gm,Thursday,90.0,62.0,31
jiomart.com,Buy Dry Fruits and Nut,Good Life Almonds,500.0,gm,Thursday,549.0,349.0,36
jiomart.com,Buy Dry Fruits and Nut,Good Life (W320) Cashews,500.0,gm,Thursday,499.0,399.0,20
jiomart.com,Buy Dry Fruits and Nut,Good Life Yellow Kishmish,500.0,gm,Thursday,183.0,129.0,29
jiomart.com,Organic Masala - Buy S,Good Life Jeera,100.0,gm,Thursday,150.0,89.0,40
jiomart.com,Organic Masala - Buy S,Good Life Jeera,500.0,gm,Thursday,740.0,359.0,51
jiomart.com,Organic Masala - Buy S,Good Life Jeera,200.0,gm,Thursday,305.0,175.0,42
jiomart.com,Organic Masala - Buy S,Good Life Big Mustard,100.0,gm,Thursday,25.0,15.0,40
jiomart.com,Organic Masala - Buy S,Good Life Chilli Powder,100.0,gm,Thursday,50.0,32.0,36
jiomart.com,Organic Masala - Buy S,Good Life Compounded Hing Powder,50.0,gm,Thursday,95.0,55.0,42
jiomart.com,Organic Masala - Buy S,Smith & Jones Ginger Garlic Paste,200.0,gm,Thursday,50.0,29.0,42
jiomart.com,Organic Masala - Buy S,Everest Kashmirilal Chilli Powder,100.0,gm,Thursday,124.0,105.0,15
jiomart.com,Organic Masala - Buy S,Lotus Spices Green Elaichi,10.0,gm,Thursday,39.0,28.0,28
jiomart.com,Buy Detergents Online ,Rin Detergent Bar,110.0,gm,Thursday,10.0,9.0,10
jiomart.com,Buy Detergents Online ,Surf Excel Detergent Bar,80.0,gm,Thursday,10.0,9.0,10
